               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.034215,             0.01275,           0.0095782,             0.84647,                   1,                0.97,             0.62787,            0.027749,           0.0064513,           0.0024831,            0.007228,            0.007228,            0.007228
                  86,            0.035679,            0.012742,           0.0089889,             0.96237,                   1,               0.995,             0.62709,            0.027156,           0.0063227,           0.0026736,            0.007195,            0.007195,            0.007195
                  87,            0.033039,            0.011794,            0.009713,             0.96948,                   1,               0.995,             0.60173,             0.02975,           0.0075851,           0.0026796,            0.007162,            0.007162,            0.007162
                  88,            0.034041,             0.01219,           0.0092389,             0.97477,             0.99949,               0.995,             0.68458,            0.025064,           0.0075424,           0.0034939,            0.007129,            0.007129,            0.007129
                  89,            0.038228,            0.012786,           0.0088649,             0.96591,             0.99165,               0.995,             0.71305,            0.023926,           0.0065903,           0.0029314,            0.007096,            0.007096,            0.007096
                  90,            0.036734,            0.012589,           0.0078699,             0.89903,                   1,             0.97881,             0.68929,            0.024929,           0.0061442,           0.0024038,            0.007063,            0.007063,            0.007063
                  91,            0.036749,            0.011383,           0.0081566,              0.9759,                   1,               0.995,             0.66145,            0.025228,           0.0059057,           0.0026362,             0.00703,             0.00703,             0.00703
                  92,            0.034211,            0.012563,           0.0080635,             0.96957,                   1,               0.995,             0.66729,            0.026317,           0.0058848,           0.0023357,            0.006997,            0.006997,            0.006997
                  93,               0.034,            0.012603,            0.008337,             0.90609,                   1,             0.98944,             0.62693,            0.025829,           0.0063522,           0.0025691,            0.006964,            0.006964,            0.006964
                  94,            0.034305,            0.012062,           0.0087826,             0.97821,                   1,               0.995,             0.56289,            0.027704,           0.0061547,           0.0027008,            0.006931,            0.006931,            0.006931
                  95,            0.035392,            0.011986,           0.0099899,             0.89935,             0.92302,             0.94583,             0.51179,            0.028473,           0.0064517,           0.0028454,            0.006898,            0.006898,            0.006898
                  96,            0.033903,            0.011614,           0.0084715,             0.98226,                   1,               0.995,             0.60195,            0.025658,           0.0056672,           0.0029147,            0.006865,            0.006865,            0.006865
                  97,            0.034171,            0.012361,           0.0076221,              0.9802,                   1,               0.995,             0.65564,             0.02638,           0.0060326,           0.0024217,            0.006832,            0.006832,            0.006832
                  98,            0.033226,            0.011863,           0.0076001,              0.9477,                   1,               0.995,             0.65984,            0.024492,           0.0058408,           0.0022562,            0.006799,            0.006799,            0.006799
                  99,            0.031029,            0.011375,            0.006895,             0.93218,                   1,               0.995,             0.64777,            0.024276,            0.006272,           0.0018591,            0.006766,            0.006766,            0.006766
                 100,             0.03455,            0.010286,           0.0071359,             0.87112,             0.97207,             0.97833,              0.6165,            0.031121,           0.0078027,           0.0017777,            0.006733,            0.006733,            0.006733
                 101,            0.031346,            0.011438,           0.0083289,             0.91747,             0.99354,             0.98944,             0.60111,            0.030617,           0.0068127,           0.0022093,              0.0067,              0.0067,              0.0067
                 102,            0.033677,            0.012361,           0.0066566,             0.94012,                   1,               0.995,              0.6335,            0.024673,           0.0053722,           0.0026338,            0.006667,            0.006667,            0.006667
                 103,            0.032395,            0.011698,           0.0067948,             0.95355,                   1,               0.995,             0.70267,            0.022427,           0.0051651,           0.0028755,            0.006634,            0.006634,            0.006634
                 104,            0.033285,             0.01127,           0.0072391,             0.95901,                   1,               0.995,              0.6217,            0.023788,           0.0052288,           0.0020781,            0.006601,            0.006601,            0.006601
                 105,            0.032961,            0.011629,           0.0073766,             0.97689,                   1,               0.995,              0.6652,            0.026447,           0.0051941,           0.0019432,            0.006568,            0.006568,            0.006568
                 106,            0.031357,            0.010935,           0.0052998,             0.97575,                   1,               0.995,             0.76187,            0.022873,           0.0054842,           0.0020103,            0.006535,            0.006535,            0.006535
                 107,            0.031473,            0.011868,           0.0088864,             0.97644,                   1,               0.995,             0.73222,            0.021684,           0.0060995,           0.0022051,            0.006502,            0.006502,            0.006502
                 108,            0.032917,            0.011136,           0.0077502,             0.97192,                   1,               0.995,             0.65926,            0.023663,           0.0055507,           0.0019451,            0.006469,            0.006469,            0.006469
                 109,            0.032078,            0.011715,           0.0067165,              0.9779,                   1,               0.995,             0.71043,            0.024265,           0.0056736,           0.0019369,            0.006436,            0.006436,            0.006436
                 110,            0.032224,            0.011321,           0.0081196,             0.97829,                   1,               0.995,             0.72152,            0.026998,           0.0051857,           0.0017414,            0.006403,            0.006403,            0.006403
                 111,            0.032299,            0.011513,           0.0073367,             0.98172,                   1,               0.995,             0.70921,            0.024496,           0.0048976,           0.0016662,             0.00637,             0.00637,             0.00637
                 112,            0.033254,            0.010783,           0.0077527,             0.97932,                   1,               0.995,             0.67675,            0.026056,           0.0049641,           0.0019191,            0.006337,            0.006337,            0.006337
                 113,            0.032687,            0.011621,           0.0065843,             0.98023,                   1,               0.995,               0.672,            0.027004,           0.0056218,           0.0023493,            0.006304,            0.006304,            0.006304
                 114,            0.030506,            0.011425,           0.0060691,              0.9737,                   1,               0.995,             0.68437,            0.023883,           0.0051891,           0.0020092,            0.006271,            0.006271,            0.006271
                 115,            0.031274,            0.010208,           0.0072703,             0.97658,                   1,               0.995,             0.73233,             0.01977,            0.005148,           0.0017568,            0.006238,            0.006238,            0.006238
                 116,            0.033867,            0.011329,           0.0071458,             0.97797,                   1,               0.995,             0.69004,            0.023008,           0.0050485,            0.001704,            0.006205,            0.006205,            0.006205
                 117,            0.030941,            0.011707,            0.006385,              0.9717,                   1,               0.995,             0.72819,            0.021144,           0.0050249,            0.001593,            0.006172,            0.006172,            0.006172
                 118,            0.030492,            0.011577,           0.0068191,             0.97564,                   1,               0.995,             0.68056,            0.021495,           0.0048823,           0.0015179,            0.006139,            0.006139,            0.006139
                 119,            0.030758,            0.011514,           0.0073975,             0.97647,                   1,               0.995,             0.71171,            0.021496,           0.0051825,           0.0013877,            0.006106,            0.006106,            0.006106
                 120,            0.031589,            0.011285,           0.0069609,             0.98034,                   1,               0.995,             0.67122,            0.024241,            0.005178,           0.0015756,            0.006073,            0.006073,            0.006073
                 121,            0.029826,            0.011668,           0.0063157,             0.97443,                   1,               0.995,             0.70402,            0.023023,           0.0050761,           0.0016462,             0.00604,             0.00604,             0.00604
                 122,            0.031098,            0.010924,           0.0074613,             0.98003,                   1,               0.995,             0.71624,            0.022815,           0.0049816,           0.0018042,            0.006007,            0.006007,            0.006007
                 123,            0.030885,            0.011256,           0.0067375,             0.97002,                   1,               0.995,             0.73833,            0.023049,           0.0049262,           0.0022279,            0.005974,            0.005974,            0.005974
                 124,            0.029365,            0.010122,           0.0066949,             0.92931,             0.94422,               0.995,             0.66676,             0.02257,           0.0050481,           0.0027527,            0.005941,            0.005941,            0.005941
                 125,            0.029784,             0.01182,           0.0054706,             0.94841,                   1,               0.995,             0.67263,            0.026823,           0.0052223,           0.0026165,            0.005908,            0.005908,            0.005908
                 126,            0.030338,             0.01155,           0.0056164,             0.95726,                   1,               0.995,             0.56135,            0.033179,           0.0052151,           0.0024987,            0.005875,            0.005875,            0.005875
                 127,            0.030661,            0.011148,           0.0065069,             0.97723,                   1,               0.995,             0.59692,             0.02826,            0.005042,           0.0016059,            0.005842,            0.005842,            0.005842
                 128,            0.032177,            0.011447,           0.0053968,             0.97468,                   1,               0.995,             0.64688,            0.026369,           0.0049228,           0.0016798,            0.005809,            0.005809,            0.005809
                 129,            0.029746,            0.010578,           0.0053901,             0.97359,                   1,               0.995,             0.67977,            0.025028,             0.00476,           0.0014827,            0.005776,            0.005776,            0.005776
                 130,            0.028498,            0.011092,           0.0049774,             0.97569,                   1,               0.995,             0.60605,            0.025844,           0.0049149,           0.0015021,            0.005743,            0.005743,            0.005743
                 131,            0.029295,              0.0105,           0.0051703,             0.98512,                   1,               0.995,             0.73432,            0.022499,           0.0049145,           0.0016663,             0.00571,             0.00571,             0.00571
                 132,            0.029517,            0.010842,           0.0063481,             0.98314,                   1,               0.995,             0.72105,            0.023348,           0.0047866,           0.0014494,            0.005677,            0.005677,            0.005677
